chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.39799592,0.5971243,0.277690301,4.0883365,2.0470867,2272.439547,2356.806514,5108.21536,21.30021283,1.736042219,-0.006518228,0.1632525,(0.71027404-0.004461245j),0.13489199,0.097643033,0.005724778,0
0.35664198,0.57120246,0.271955715,6.502836,1.9139153,2068.358476,2034.137241,4231.765698,22.21684561,2.132104803,-0.015173263,0.137293212,(0.69713724+0.004201422j),0.16199261,0.104351708,0.005036972,0
0.3484747,0.32998297,0.222038074,1.0829179,-6.252047,798.4511725,1285.362523,1454.423817,20.91578559,0.397697002,0.045322158,0.133328891,(0.5426875+0.0025455735j),0.052852917,0.025648172,0.000764248,0
0.4665292,0.6324612,0.280803421,9.173134,4.4233866,2224.110737,2254.855675,4700.233605,21.08211579,2.572399768,0.016132361,0.103431726,(0.8892867+0.0033512893j),0.19211395,0.108509462,0.008909625,0
0.33790562,0.48698163,0.266020009,3.5924444,-0.5433377,2258.009314,2175.940748,4754.59953,22.47158723,1.768470151,0.040136141,0.219570598,(0.68540204-0.0027826615j),0.12911049,0.112705735,0.005755155,0
0.37952945,0.47686198,0.268067527,3.389883,1.8416028,2148.197609,2204.331845,4672.197141,21.61273688,1.706362181,-0.008107492,0.184900659,(0.61774105-0.0015635506j),0.12396911,0.098766873,0.005732528,0
0.4214355,0.51704,0.2756922,15.517829,5.435899,2442.87141,2358.615038,5267.699289,21.78521426,3.932860399,-0.003565392,0.188850998,(0.6423583+0.0030083724j),0.2709416,0.124682409,0.010715401,0
0.28035653,0.33930328,0.226325748,4.7798824,-8.617289,1648.835169,2189.985865,3759.892114,26.45532219,0.926235828,-0.000124541,0.164909022,(0.7664528-3.664595e-05j),0.12473648,0.05289487,0.001489078,0
0.2739504,0.39057535,0.240154831,2.3874526,-5.115921,1817.150863,1973.773306,3943.490565,21.16195009,0.899283421,0.018689929,0.175927681,(0.6205119-0.00210016j),0.08131366,0.079174824,0.002708275,0
0.43293655,0.6240189,0.277061013,6.0656996,3.2742379,2032.001859,1976.383235,4023.56144,21.23123583,2.080555031,0.010595806,0.162129096,(0.6902164+0.0025689853j),0.15774165,0.113119245,0.004766665,0
