chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.23900416,0.32670256,0.209434351,0.15422493,-10.763933,1157.916744,1320.686233,2181.923001,23.56698493,0.197714637,4.19E-05,0.275328127,(0.39947718-0.00049566914j),0.018696787,0.070666343,0.000386463,1
0.28609252,0.30998605,0.191007233,0.018671164,-13.686862,1170.028076,1595.365294,2360.084027,19.45348742,0.088581923,-0.061666775,0.313390103,(0.41142+0.0009048409j),0.007976116,0.049487097,0.001447012,1
0.22769299,0.39819765,0.230030963,0.090222,-11.696392,1800.888692,1781.068502,3427.243261,24.10691767,0.142977249,-0.002300508,0.24119149,(0.5318908+0.0047817575j),0.013563836,0.124354245,0.000938626,1
0.2656058,0.31315973,0.191679966,0.2207799,-9.757869,1137.99553,1480.566388,1821.312627,23.96034713,0.287361232,0.094743573,0.290858262,(0.41993877-0.002495721j),0.03000553,0.081843943,0.000529347,1
0.2441882,0.29539645,0.204415856,0.3803469,-9.3001585,1355.504022,1615.200722,2521.824529,21.29812672,0.333919205,0.027600333,0.159997534,(0.5357788+0.00813436j),0.031944524,0.070837789,0.001809047,1
0.26147446,0.30532634,0.20208551,0.32501072,-7.0914087,1372.6378,1579.213327,2737.714459,24.39824248,0.364036715,0.052564609,0.276631132,(0.43226838-0.002282134j),0.03321557,0.072901184,0.000606805,1
0.25851148,0.32332104,0.193724511,0.026830029,-16.369091,1173.883591,1517.225806,2082.72538,21.59472088,0.102075288,0.042816679,0.301066188,(0.40000165+0.00083256076j),0.009495301,0.066340164,0.000971828,1
0.23217624,0.29380813,0.202302926,0.37300867,-10.248037,1387.961803,1456.141132,2598.381478,23.55238693,0.364425066,0.074102225,0.212294508,(0.5215008-0.0006566383j),0.03172733,0.080876066,0.000633965,1
0.19101737,0.24440888,0.181418,3.8173008,-8.851478,1063.074682,1552.266186,1610.73522,20.71045557,0.91199753,-0.004650548,0.206248709,(0.4238163-0.0036667644j),0.115341574,0.051008964,0.001284898,1
0.21728753,0.39826298,0.237563194,0.23485115,-7.352159,2423.299494,1884.688605,4296.51519,24.39865257,0.357876017,0.029224975,0.215843682,(0.6616375+0.0047828914j),0.035134282,0.166652694,0.001523415,1
0.25637764,0.34613118,0.221964973,0.5349586,-10.307177,1358.547002,1417.623243,2416.898043,22.38122396,0.465599561,0.032728154,0.218827246,(0.5501833+0.0031778119j),0.037362825,0.081078856,0.0008825,1
0.2705243,0.26143116,0.181749068,0.1789334,-9.486082,1216.187786,1582.826588,2560.003081,24.07792431,0.233125165,0.057913866,0.279089733,(0.3995481-0.0013279727j),0.023802595,0.056246752,0.000539731,1
0.22692807,0.3502134,0.224799227,1.6428468,-7.337871,1623.851928,1551.415865,2732.310341,23.79756074,0.7963444,0.038977862,0.188185119,(0.6228484+0.001314277j),0.08249172,0.10824965,0.000801079,1
0.26853025,0.35400853,0.224709601,0.55167824,-6.6967015,1431.055193,1558.112947,2835.996128,22.31078341,0.526755746,0.032687217,0.214680897,(0.5280617+0.003882938j),0.043262236,0.07521004,0.001170712,1
0.33390844,0.36157623,0.226000862,0.024747107,-7.733025,1525.123851,1869.056261,3325.680818,22.92048875,0.125825722,0.026148832,0.23881948,(0.43585318-0.00021047994j),0.010505528,0.080685361,0.001322914,1
0.22515008,0.28299475,0.188606663,0.014990318,-21.567976,715.3997068,1030.415264,1037.798803,19.82837427,0.052328252,0.027263106,0.160645479,(0.34522668-0.0013592887j),0.006629292,0.041281857,0.000412067,1
0.2817732,0.3584799,0.222641173,0.6900558,-9.201475,1322.070442,1590.415615,2473.628791,22.72047247,0.554672008,0.096118695,0.164656127,(0.5864557+0.0015788369j),0.04819563,0.076104656,0.003229468,1
0.25239193,0.35640857,0.222198435,0.3255677,-6.9053473,1505.166424,1559.00574,2716.306158,23.38399895,0.414838878,-0.019158376,0.223910314,(0.5362477+0.0019227099j),0.03624489,0.098222702,0.000903703,1
