chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.31454968,0.25426725,0.185548626,2.9804056,-0.22037648,1397.821606,1896.36395,3100.931133,24.30920849,1.146710835,0.055777512,0.137067788,(0.5395994+0.0029811505j),0.10725886,0.04858304,0.002105897,2
0.3206412,0.43751466,0.253213673,4.0009913,1.6556782,1701.919072,1709.530314,3244.627377,22.53250929,1.919434157,0.021561686,0.137155721,(0.692569-0.005063198j),0.13651323,0.098904332,0.002453434,2
0.3713019,0.4713125,0.256060212,5.209018,1.8467,1927.414343,1972.141442,3883.479044,22.89556552,2.020705599,-0.00533509,0.138954862,(0.58227015+0.0006966154j),0.14745136,0.098996852,0.005885093,2
0.31822735,0.36407793,0.220580672,2.2303433,-3.5036337,1474.196472,1885.994958,2925.859364,20.61446631,1.094802078,0.001070109,0.1868947,(0.5516253-0.00086724915j),0.094111964,0.059815397,0.004391528,2
0.3570534,0.46483803,0.265759974,5.693255,2.8952267,1881.29943,2116.203664,4111.484522,21.98207454,2.110848605,-0.007415505,0.145758369,(0.5956122+0.0024262436j),0.1550333,0.081115487,0.005220028,2
0.35530204,0.30204728,0.216043213,16.483446,7.7790484,2505.711892,2574.298118,5479.959462,20.42508833,3.178006035,0.023019618,0.208147214,(0.51250297+0.00040025281j),0.2745162,0.104562587,0.020542325,2
0.36532846,0.4866412,0.268748173,5.017825,0.8963357,1934.746539,1970.145374,4048.375417,22.86135409,1.882213155,0.011577422,0.168248693,(0.68593186+0.0015727622j),0.14438203,0.094722786,0.004284594,2
0.3378934,0.2587024,0.191024902,4.4005446,2.1318324,1596.307516,1853.316211,3291.44086,24.83133426,1.534977524,0.040995013,0.14781025,(0.5951468+0.0025198273j),0.13549542,0.069267586,0.002087291,2
0.30090228,0.29839924,0.21675421,1.6090131,-3.9506044,2839.288722,2798.566002,6048.140509,21.39371732,0.724598011,0.014315825,0.158238952,(0.7123931+0.0021568176j),0.078498855,0.110162745,0.027902778,2
0.37487903,0.39839494,0.237594038,2.362443,-2.4015841,1549.004976,1823.811844,3289.65059,23.76255866,1.194286732,-0.006170628,0.15463274,(0.5933187+0.00036878066j),0.09585826,0.06973623,0.002456243,2
0.31983674,0.4458602,0.256832199,7.867489,0.7333602,1964.84288,2036.382098,4059.142018,23.72470648,2.368192216,0.04191125,0.154563056,(0.68963444-0.005114982j),0.18069547,0.092992843,0.006608895,2
0.32385382,0.3754392,0.237651938,4.898178,-1.7283398,1599.815255,1826.192506,3006.271638,19.2281537,1.854476449,0.037401761,0.150367525,(0.73646885+0.00067545887j),0.143587,0.075791975,0.009429535,2
0.38402668,0.31428033,0.211398636,13.4196615,6.639481,2797.84481,2847.551887,6221.176656,19.81741856,2.88580924,-0.025801677,0.223616188,(0.5559424+0.0007829962j),0.24841839,0.107204861,0.029599972,2
0.34807774,0.23911688,0.182681601,5.725329,2.2891538,1560.97044,1782.663018,3175.106606,24.58381975,1.649367763,0.036733143,0.153758752,(0.57792485+0.000110243745j),0.15314192,0.067199282,0.002544187,2
0.34729415,0.38497585,0.229228135,1.6701396,-4.1756682,1564.759947,2015.519556,3187.372039,19.84609833,0.879388332,0.043280507,0.152887582,(0.59358346+0.002844202j),0.07989733,0.057276939,0.008660775,2
0.3053719,0.23836865,0.179694672,0.46052375,-10.249932,1494.66509,2330.919047,3050.528783,20.38873501,0.284906066,-0.013881131,0.158383742,(0.60204875+1.0743248e-05j),0.038920145,0.035463644,0.005858688,2
