chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.4600233,0.69119847,0.279610052,3.1687524,1.6789827,2694.87752,2389.286158,5599.98176,20.69745396,1.732346732,-0.009719965,0.195781815,(0.77326834-0.010199881j),0.118561946,0.149885728,0.016207825,4
0.46398333,0.59448487,0.267589493,19.651997,4.9011374,2858.072527,2639.666064,6047.799109,19.53612745,3.015857713,-0.000682215,0.11304733,(1.1654943+0.003434057j),0.27087855,0.128170241,0.026952144,4
0.42460543,0.47437164,0.254987513,19.423471,0.17156208,2327.684579,2626.777281,4932.169351,17.57122229,2.128996323,0.007350685,0.142719887,(1.0876575-0.0044339336j),0.23719952,0.096652498,0.0437653,4
0.3934247,0.48504663,0.264296591,14.729677,4.2229548,2500.421635,2578.17453,5294.461746,18.54974696,2.514815433,0.016575751,0.136027407,(0.89911175-0.0074304896j),0.24405567,0.09950326,0.031983197,4
0.3403002,0.5708535,0.277409741,4.26991,-0.90834767,1798.645196,1688.321317,3626.696013,20.382443,1.837164801,0.008155086,0.155963329,(0.88985956-0.0019213001j),0.13673341,0.096624553,0.005783883,4
0.403845,0.44221506,0.252031852,15.874275,3.7034657,3184.921787,3285.42246,7471.147166,18.66598242,2.162434293,-0.004185645,0.14906635,(0.7933843+0.003843832j),0.24703239,0.107511374,0.041473366,4
0.43204603,0.6363831,0.281249363,13.179706,4.133634,2470.274472,2410.152685,5255.592067,18.9043116,2.745433517,-0.002291545,0.118261884,(1.1787878-0.00019296036j),0.22592902,0.100136175,0.025579879,4
0.4511508,0.5301494,0.261799629,11.532279,1.0956476,3140.810674,2849.980909,6336.698754,17.93709546,1.930054586,0.013021516,0.164337619,(1.0064805-0.0038006643j),0.19164595,0.146814427,0.07663816,4
0.44555846,0.54060996,0.256830134,11.427053,-1.2045248,2670.95905,2494.653283,5320.258291,18.28703664,1.970600172,-0.011637756,0.161498986,(0.95911163-0.0030448772j),0.1860881,0.122197953,0.052851684,4
0.47404888,0.560244,0.271480626,3.5037405,1.9681991,2582.203954,2526.331057,5731.928836,20.94179405,1.443434813,0.026678799,0.206820784,(0.7264724-0.0044648056j),0.11849735,0.116005127,0.012245634,4
0.5390961,0.67159027,0.280637286,8.061862,4.905339,3725.198599,3205.355742,7642.430224,14.99081072,2.428835703,0.004876823,0.146569274,(0.7209149+0.0013200721j),0.19397742,0.172685781,0.09276024,4
0.4394577,0.40600058,0.251573431,6.5790887,4.191756,3127.019736,2853.565664,6388.973803,17.09569602,1.829874581,-0.006946927,0.144851014,(0.8558119+0.00011506112j),0.16672282,0.115332927,0.055100035,4
0.52054405,0.6434549,0.271427701,2.5361037,0.20819017,1470.311629,1954.885261,3279.083833,19.4633782,0.869527171,0.00805679,0.122578548,(0.8088773+0.002001129j),0.08646377,0.051821633,0.003377786,4
0.58370644,0.61394626,0.274877186,3.3296266,1.6473861,2473.15734,2499.721421,5509.635568,19.18006673,0.965211031,-0.007237462,0.126380828,(0.9467982+0.0041093016j),0.10803986,0.087775069,0.015321953,4
0.50007504,0.52600545,0.259677687,10.1693125,5.452675,2987.722249,2731.823952,6169.834153,17.28897143,2.760634727,0.00736774,0.1819861,(0.7387199+0.0010850045j),0.21418464,0.152815505,0.054535158,4
0.4270693,0.47363788,0.260934728,20.012339,4.881351,1683.294888,2427.438616,3618.061082,18.41700447,2.475509086,-0.015132324,0.143966288,(0.99882567+0.005204742j),0.2737922,0.042430243,0.009816418,4
0.39833966,0.4566618,0.253490806,19.510906,2.0951922,2208.645681,2215.028676,4416.655717,17.43106001,3.587423348,0.008984147,0.127229123,(0.849863+0.037261218j),0.2698596,0.097384366,0.11177847,4
