chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.37267327,0.4716169,0.260628829,9.141,4.5312343,2976.346758,3035.971529,6860.793232,17.97105756,2.344893687,-0.016290035,0.168301517,(0.6025507-0.00506445j),0.19836749,0.11474046,0.04089084,5
0.32240322,0.4640558,0.259743815,1.4360054,-6.3010483,1545.494758,1580.264097,2721.418837,18.50420001,1.034177725,-0.020154264,0.147800243,(0.7639143+0.00395512j),0.080562025,0.099600312,0.003113194,5
0.38281018,0.5427329,0.274104766,6.0775733,3.8601236,2481.389015,2688.307311,5553.607346,16.96950098,2.210653994,0.005106569,0.199306509,(0.5919022+0.0025519053j),0.16254479,0.098746297,0.033743136,5
0.43270674,0.51670825,0.258755064,0.54705906,-3.7230456,2915.017702,2420.421212,5864.933419,20.70573781,0.681547881,0.001175536,0.218552709,(0.58561903+0.0006191466j),0.047976967,0.181372127,0.018817,5
0.2807079,0.42723253,0.247993183,0.5141353,-9.27387,1521.904429,1909.544917,3251.272194,20.72673193,0.368014978,0.008684679,0.106537077,(0.7016948-0.002115042j),0.040531676,0.061381069,0.004012825,5
0.36623764,0.3351601,0.220808739,9.028571,4.0867195,2289.574756,2592.495165,5243.624608,19.46820021,1.842123937,0.033998956,0.147002885,(0.552887+0.0026609865j),0.188432,0.077255026,0.013916544,5
0.35734358,0.3813291,0.236620371,3.5364115,-1.2431178,1304.588618,1636.829732,2723.983503,23.20915163,1.120494669,0.011305033,0.146083505,(0.6466822+0.00031562202j),0.11854953,0.046267009,0.000864227,5
0.27727386,0.3353372,0.220615991,2.6059935,-4.197063,970.882823,1300.530353,1794.283711,20.22842639,1.019394284,0.039824036,0.206741105,(0.56742656-0.002924292j),0.10035718,0.042570723,0.000513339,5
0.20181754,0.26488405,0.183910199,0.3079931,-10.78397,1367.327325,1638.664734,2631.280815,25.33398621,0.201511968,-0.03785483,0.198413725,(0.42030612+0.0063285595j),0.031966027,0.058610366,0.00245026,5
0.32799223,0.4771364,0.252994137,0.17032191,-9.784203,1266.582864,1691.436718,2410.827778,18.70267328,0.278955408,-0.003896293,0.177015204,(0.550891+0.00076740264j),0.02279501,0.059293884,0.003554733,5
0.39298946,0.39425498,0.238185732,0.6591581,-1.1929679,2875.081678,2802.921671,6139.161176,18.6264179,0.618366191,0.028745584,0.149595437,(0.5359993+0.00074625085j),0.05170016,0.118312473,0.042738646,5
0.3637769,0.4501505,0.252852752,0.3703572,-5.539096,1650.852354,2040.694127,3658.429592,21.29910027,0.4483452,0.017357337,0.140863233,(0.5573129+0.0059865294j),0.037551645,0.063689548,0.002790481,5
0.37026086,0.40995514,0.254735257,12.044136,5.407903,2454.905302,2656.832951,5469.103076,18.43372016,2.942202421,0.009021079,0.153342927,(0.53816336+0.0030880494j),0.2318898,0.094259266,0.027430382,5
0.2959118,0.38128117,0.233855479,0.45989457,-6.1829166,1492.234676,2014.187546,3375.924959,22.88413089,0.311325024,0.033924651,0.148096366,(0.6127756+0.00022871538j),0.039268877,0.04617902,0.001661135,5
0.3489883,0.4104617,0.247347706,0.9282914,-2.8088078,2034.479191,2084.54367,4342.462682,21.38973561,0.717189647,0.008572164,0.15440371,(0.63686585+0.0031366635j),0.058865163,0.093222822,0.006010207,5
