chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.50139713,0.4665036,0.262614678,14.900385,7.0010843,2836.907115,2339.362823,5615.20322,20.15358418,4.391472007,-0.032902256,0.227199688,(0.51842314+0.0011992669j),0.27084413,0.162753242,0.01882189,6
0.4344844,0.47573152,0.267767575,1.5596524,0.88777554,2629.810643,2248.715154,5190.867555,19.99613862,1.483172578,0.01761465,0.188472794,(0.593139+0.00047493607j),0.088304184,0.15901013,0.01675379,6
0.5418518,0.5541873,0.277654238,2.5799596,1.3889304,3048.820089,2358.877155,5662.899348,19.94511157,2.040087815,-0.001831398,0.22990679,(0.5446484+0.002308603j),0.11815384,0.19649223,0.025535014,6
0.4696051,0.5649805,0.270605573,1.7738272,-0.11807063,2759.97742,2242.517139,5259.455719,20.98744361,1.599080633,0.014778855,0.200643296,(0.5433035+0.0039139627j),0.095435925,0.171205832,0.020025294,6
0.48461002,0.57931405,0.273759339,3.3192694,2.8956294,2870.818647,2126.733591,5186.229506,20.50738959,2.235619961,0.013001795,0.240674464,(0.5576207+0.0009791467j),0.13821155,0.198145891,0.013265248,6
0.46762958,0.5028377,0.265179838,6.6067867,4.5165343,2442.474785,2102.938436,4728.569834,20.40478337,3.296008607,0.010525872,0.265732024,(0.4939375+0.002496909j),0.18236698,0.149821908,0.013154469,6
0.48755392,0.5735183,0.273971811,4.2553616,4.6421084,2752.264617,2205.786688,5234.841586,20.28435014,2.491225593,0.009121041,0.247766215,(0.57982594+0.0009554661j),0.15018322,0.166673464,0.018819816,6
0.48000017,0.61146885,0.276835434,3.108426,2.1756127,2807.794461,2407.524553,5673.874121,19.20314102,1.82833353,-0.007803367,0.158752866,(0.5770015-0.004449829j),0.115350194,0.153729668,0.021076137,6
0.5104593,0.5091393,0.275866353,7.973827,6.6257524,3113.699817,2411.527175,5829.202957,20.0544503,3.447788636,-0.006514332,0.219245086,(0.5477671+0.0016778348j),0.20718977,0.195718079,0.035156917,6
0.39582816,0.50630337,0.274252996,2.6817567,1.4230059,2292.382423,2149.298981,4819.981862,20.68960906,1.815682957,-0.020281242,0.251327123,(0.5344227+0.00033607235j),0.11203362,0.123600865,0.010138101,6
0.43002412,0.48997,0.261685739,18.56419,7.778825,2642.018426,2461.275706,5566.90756,20.46010621,4.172408265,-0.016598758,0.177428893,(0.61026657+0.0010885835j),0.29357594,0.121288609,0.021265399,6
0.47240555,0.5828488,0.274824425,3.6417983,2.2934175,2710.543163,2264.313137,5323.505757,21.22677949,1.90916372,0.00974182,0.181779846,(0.5694857+0.0022512914j),0.12742561,0.143855284,0.013673192,6
0.44519335,0.53934914,0.268751333,8.140504,4.168647,2339.714908,2151.982682,4707.994218,20.33891075,2.938987147,0.004656808,0.261908508,(0.53313345+0.0023515471j),0.19440858,0.116770214,0.009799981,6
0.58142954,0.6387674,0.280656081,0.973536,-0.15018877,2939.466844,2522.700015,5806.520651,19.76529001,1.099406852,0.001222895,0.251584101,(0.5564942+0.004083511j),0.06949906,0.168310887,0.03168609,6
0.42148295,0.60522306,0.275941663,4.6514735,2.2445984,1988.223473,1986.927355,4148.006034,20.59435015,1.66174777,0.016642182,0.130519523,(0.780073+0.0022458124j),0.13336113,0.092392027,0.004976175,6
0.48058337,0.5885078,0.275360478,11.336483,6.5077944,2522.065033,2275.5778,5088.713906,19.47304809,3.90275351,0.012842231,0.160601344,(0.61821514+4.010509e-05j),0.2298491,0.138517045,0.025827914,6
0.45613423,0.49113175,0.257393994,1.8699481,-0.4329474,2269.128009,1928.953538,4186.459372,20.77753501,1.644650091,0.017756987,0.161574803,(0.5969376+0.0042427215j),0.09760946,0.137347889,0.009829941,6
0.5552319,0.6608168,0.28130968,2.161945,1.7339128,2699.282253,2324.184905,5384.782958,18.6951403,1.711957339,-0.009124498,0.194887189,(0.6039467+0.0037541187j),0.1009232,0.161427367,0.019877043,6
0.5165466,0.53997195,0.270688868,13.952809,8.331795,3338.5819,2697.128636,6670.863091,19.10933675,4.209691504,-0.008012994,0.199519813,(0.6252739+0.00450109j),0.26737952,0.186739444,0.049649186,6
0.50926864,0.6089943,0.274573461,2.0732644,1.5400655,2710.794745,2195.041769,5083.209866,19.99306219,1.816966605,0.004469633,0.193716987,(0.61555445-0.00023453211j),0.10462345,0.166524299,0.021919731,6
0.47700688,0.49271354,0.272594485,9.382873,6.0483265,2889.194292,2337.593169,5484.996454,20.60085968,3.857814071,-0.025535432,0.228887101,(0.5460547-0.0006538963j),0.22451183,0.176574282,0.025780609,6
0.43021443,0.5249746,0.260421708,1.6277761,-2.0162318,2390.257225,2027.698032,4449.795624,21.27738713,1.351545534,0.015033181,0.142346132,(0.61448014+0.0050990414j),0.08806444,0.144321663,0.011089955,6
0.5098985,0.54200214,0.266441308,5.0934224,2.9911666,2241.000418,2115.887744,4490.522189,20.67742279,1.962233919,-0.005020732,0.093533993,(0.63324964+0.012673918j),0.13901173,0.115697355,0.011355057,6
0.3419084,0.43365556,0.256263266,6.4197345,-1.2591121,2089.971058,2065.151009,4392.698496,21.81463588,2.32646934,0.013040887,0.212872436,(0.60874754+0.0012134827j),0.16633387,0.093285887,0.006386398,6
0.533742,0.57817256,0.27483377,11.348819,6.721486,2716.988684,2209.014599,5123.137054,18.95497251,4.114837239,-0.002533243,0.159565434,(0.66785604+0.0049448516j),0.23994169,0.162191699,0.034362074,6
0.48755953,0.4192852,0.263410444,8.673989,6.0573564,2718.609163,2271.378022,5228.72136,20.52765106,3.151891863,-6.88E-05,0.162594689,(0.64271253-0.0009348264j),0.20719709,0.143718203,0.021018323,6
0.48024824,0.5219755,0.262490649,14.62339,6.581072,2030.381716,1929.576225,4224.113333,20.67596115,3.607620923,0.012429103,0.18379296,(0.5849581-0.004060989j),0.25685006,0.099998338,0.007652745,6
0.47690293,0.55149686,0.274860377,1.9364591,3.4882398,2922.845195,2620.93922,6037.074142,20.08712547,1.507042487,-0.021533357,0.23243025,(0.5498406+0.0010502099j),0.097298,0.152840717,0.029085621,6
0.52724963,0.49213663,0.262531609,8.189804,6.888513,2575.097301,2236.605278,5056.588965,20.81185494,2.774963287,0.017284583,0.189511327,(0.5705404-0.008593406j),0.19529755,0.131706409,0.013064326,6
0.5244612,0.4855264,0.274037682,8.629089,6.779203,2980.010398,2297.378761,5461.847844,20.29785909,3.843473056,0.015190379,0.242134704,(0.524831-0.00065264106j),0.21761256,0.193987759,0.027502418,6
0.5183819,0.52858216,0.27080285,8.242109,5.236384,2493.501781,2286.511921,5104.892952,20.65749686,2.668547041,0.002708855,0.142823477,(0.6337541-0.0021953557j),0.1882441,0.128173262,0.014297152,6
0.44626254,0.5577909,0.273113308,10.578646,5.664499,2566.813953,2408.565655,5444.511368,20.65301445,3.403667873,-0.009133129,0.185071737,(0.58801436-0.0012073546j),0.2205635,0.125147277,0.016346797,6
0.38012004,0.5061566,0.264769128,2.9127176,-0.5761237,2323.458546,2263.691596,5018.485354,21.92601793,1.675372026,-0.017475786,0.209886862,(0.557909-0.00029917882j),0.11604086,0.120043549,0.006996416,6
0.4993705,0.49920875,0.274042251,9.932521,6.954597,3108.487824,2361.554632,5699.221016,20.29918651,3.887165205,0.003975224,0.216772607,(0.57623357-0.00161694j),0.23259367,0.196840409,0.035118874,6
0.491932,0.5478171,0.269739258,8.207578,6.064103,1983.769077,2112.382571,4242.10763,21.23459879,2.437178236,0.017010069,0.173875448,(0.5319613+0.007491885j),0.18609104,0.086226013,0.007059949,6
0.46917063,0.5712265,0.271490327,4.136626,2.4269016,2254.453491,2070.847623,4381.340689,20.39149197,2.063847365,0.005485912,0.145008029,(0.63003474+0.0021019608j),0.13629578,0.120116055,0.009063463,6
0.4635229,0.52755404,0.275256134,11.517307,6.8722568,3010.954446,2386.809862,5633.3474,20.07578425,3.950454875,0.002377539,0.217092024,(0.5644605-0.002326907j),0.24293815,0.179306467,0.032179333,6
0.5810324,0.6925314,0.282740002,2.6958826,3.3988867,2657.012957,2337.826063,5327.34443,18.3452809,1.850463813,-0.006081599,0.216810537,(0.58833104-8.220875e-05j),0.11381992,0.158715197,0.018560877,6
0.43021443,0.5249746,0.260421708,1.6277761,-2.0162318,2390.257225,2027.698032,4449.795624,21.27738713,1.351545534,0.015033181,0.142346132,(0.61448014+0.0050990414j),0.08806444,0.144321663,0.011089955,6
0.43667194,0.51652795,0.259292989,1.6828808,0.06644607,2464.27869,2037.656688,4549.009899,20.95481901,1.595798715,0.005661097,0.183394615,(0.5601887+0.00065409293j),0.093662925,0.151861133,0.012669539,6
0.5177817,0.4748452,0.265672299,7.590708,4.7597547,2137.920771,1970.550723,4200.714919,20.99794548,3.413881741,-0.042255113,0.213366228,(0.5243648+0.00013826942j),0.1904102,0.121935497,0.008252933,6
0.6362096,0.57199514,0.278362887,1.2786994,2.607296,3047.552789,2303.472493,5735.52603,19.52604456,1.546558709,0.005370349,0.23447427,(0.5717674-0.0006879413j),0.08633401,0.203522649,0.02877396,6
0.4787252,0.37079585,0.249300067,11.330891,8.167257,2410.798727,2227.636452,4949.930496,20.64576306,3.524452024,0.027872567,0.273831415,(0.55529+0.002773158j),0.2315323,0.128288818,0.009831299,6
0.4147362,0.5944389,0.275672735,0.6895552,-3.769745,2743.055985,2450.89033,5626.111378,20.08163145,0.641892189,-0.001506841,0.167344423,(0.69626564-0.00912248j),0.048849303,0.142846623,0.01744143,6
0.42244282,0.5551345,0.277521685,3.3931012,0.9024947,2464.467489,2204.451704,4951.89563,20.23393374,1.894511124,0.016627871,0.194991801,(0.5815213+0.0007232982j),0.12188121,0.134319261,0.012261168,6
0.45613423,0.49113175,0.257393994,1.8699481,-0.4329474,2269.128009,1928.953538,4186.459372,20.77753501,1.644650091,0.017756987,0.161574803,(0.5969376+0.0042427215j),0.09760946,0.137347889,0.009829941,6
0.42698702,0.42272243,0.255937946,4.6860814,3.2940123,2141.405303,2217.5198,4682.888801,21.51156311,1.83989976,-0.001190421,0.204088604,(0.5952471-0.00038372673j),0.14664106,0.084635039,0.004809458,6
0.43105528,0.5313603,0.275187171,9.095796,5.794181,2908.281431,2286.280885,5405.808224,20.05236909,3.611600655,0.001811796,0.234508763,(0.5745939+0.00056634314j),0.21759082,0.178108233,0.026365895,6
0.46304426,0.49780825,0.269931517,2.149427,0.73443925,2302.499564,2069.576756,4598.871005,19.61591462,1.655609679,0.015435184,0.159181898,(0.6435702+0.0014152883j),0.0983774,0.130701146,0.011551799,6
