chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.32979384,0.5354714,0.268571751,36.455647,7.995721,2467.912377,2624.842482,5480.391713,21.6599427,4.623978921,0.002347641,0.224427475,(0.94326085-0.0015648984j),0.3979734,0.098157371,0.016073423,7
0.3886304,0.45225683,0.2511877,6.6502576,-0.11040252,3488.787937,3205.232712,7496.360832,17.73111791,1.661936704,-0.024869016,0.125840574,(0.79102355+0.012401704j),0.14662537,0.153313515,0.091718584,7
0.51851547,0.5484291,0.251585314,28.5171,7.346382,3672.815531,3279.641259,7783.844915,17.38555417,2.854719244,-0.000662597,0.148423048,(1.0981517-0.0012473889j),0.3294356,0.154058965,0.075165726,7
0.38409382,0.37694445,0.229647676,16.680737,6.9145036,3934.518524,3509.646417,8525.333187,19.03393058,2.8389948,0.021984552,0.152505591,(0.70760167+0.00046320964j),0.27983776,0.187111792,0.0682471,7
0.43720886,0.491367,0.258987005,8.932957,-0.67956173,3141.673325,3000.153759,6824.601501,17.32326916,1.851752693,0.010566685,0.125735521,(0.856937+0.0026414047j),0.16777915,0.136404181,0.077989705,7
0.33489373,0.48896158,0.252709058,9.99456,2.0763311,2525.419447,2848.427967,5552.776916,19.15371728,2.35600432,0.047407963,0.133205731,(0.7301016-0.012209734j),0.19570205,0.103494477,0.030334407,7
0.44725096,0.513858,0.254768876,9.364189,2.8565028,3888.859807,3270.966517,8054.483804,16.9667022,2.002590111,0.018532454,0.150258634,(0.85519505+0.011426486j),0.19152206,0.19095611,0.11155383,7
0.377553,0.53420043,0.270678367,6.0150304,2.08394,2682.251387,2923.921604,5955.912452,17.92429412,2.018058615,0.00481056,0.126960095,(0.9598753-0.015334091j),0.1579976,0.101867251,0.047290042,7
0.3902797,0.4046308,0.241075938,19.524551,3.7861683,3497.602316,3294.747554,7661.881718,18.4543729,2.659072829,0.047033652,0.132137408,(0.9910654+0.0010233017j),0.27347985,0.135989538,0.063522406,7
0.3902797,0.4046308,0.241075938,19.524551,3.7861683,3497.602316,3294.747554,7661.881718,18.4543729,2.659072829,0.047033652,0.132137408,(0.9910654+0.0010233017j),0.27347985,0.135989538,0.063522406,7
0.42310017,0.49996057,0.260804338,4.6274076,0.8464479,2835.103815,2731.718955,5944.979313,16.85380568,2.050554973,0.032022381,0.15825876,(0.6535472+0.00033285265j),0.1400063,0.137009906,0.06133619,7
0.43530235,0.41458043,0.234832454,4.5690866,3.2850764,2789.486477,2795.819855,6113.356305,16.65851559,2.039273177,-0.047159005,0.257487394,(0.5056593+0.0005586627j),0.14316326,0.126163492,0.050019298,7
0.34586853,0.45175076,0.246182561,5.1804123,-1.0855131,2519.22884,2684.273618,5497.686555,18.08890024,1.554106026,0.002973494,0.114937305,(0.7044231-0.0014410639j),0.13353185,0.100126356,0.03412024,7
0.25165102,0.40217948,0.237471762,2.0815232,-2.673505,1967.765607,2326.177578,4125.765049,21.64457331,0.771716978,-0.013115628,0.186227034,(0.5797579-0.009590043j),0.08436692,0.082300503,0.009442183,7
0.38745075,0.45863175,0.250534849,3.7615979,2.2713962,3593.788286,3171.031491,7634.702919,17.69560852,1.759813104,0.013001748,0.128373468,(0.73383796-0.0020799364j),0.13254207,0.185154135,0.10661073,7
0.40737125,0.54077125,0.26718929,15.931884,0.75640255,3263.009073,2931.30139,6715.669806,17.55698889,2.981038082,-0.014789939,0.139994364,(0.98068523-0.010662723j),0.24566929,0.154998142,0.07276325,7
0.45182496,0.58437765,0.278166645,12.570721,5.3783784,3238.215472,2954.126414,6701.364299,16.24336157,3.734325534,0.022599702,0.131473951,(0.8194299+0.0059564225j),0.24098487,0.164805684,0.090159036,7
0.409812,0.35360444,0.233836977,4.0588136,2.648422,1836.956691,2066.669705,3670.803274,21.13119895,1.614053432,0.061375203,0.155107273,(0.6888297-0.0043065525j),0.12942176,0.085323089,0.009706712,7
