chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.4706398,0.6004278,0.271660135,2.0338707,-0.6684883,1291.325653,1746.63235,2826.819952,21.23625524,0.778772319,0.014543334,0.090169764,(1.0167079-0.00048650266j),0.082481146,0.044601263,0.002988191,8
0.38311118,0.43552005,0.244102931,2.1781695,-1.9633511,1609.702053,1990.778982,3269.707813,22.03185268,0.803003758,-0.003691532,0.119385657,(1.0622553-0.009600864j),0.086702436,0.060570666,0.005366335,8
0.3585075,0.4387731,0.246638913,2.4249387,0.72408825,2104.462897,2311.178742,4379.858512,19.86687452,0.918651765,0.003101774,0.124659114,(0.9589485+0.0009650119j),0.095358424,0.0778312,0.019907512,8
0.40196326,0.5642645,0.277796018,2.8766656,-0.69760865,2009.585992,2141.377602,4304.667164,22.36318011,1.116802179,-0.01070639,0.112247432,(0.9742762-0.005974463j),0.10110662,0.084453019,0.006591559,8
0.41003862,0.3680872,0.241249271,4.8235154,2.9821687,2026.298986,2398.102837,4462.743857,17.99296801,1.401608097,0.050057117,0.117477585,(0.9429988+0.00071150844j),0.13920309,0.06483378,0.017854948,8
0.34240165,0.4050647,0.242298518,3.1736107,-1.6267581,1417.837118,1704.350704,2880.253272,22.46789486,1.027536207,-0.023090577,0.11337036,(0.8546041+0.012191348j),0.10510431,0.060821415,0.002965535,8
0.39876112,0.48997942,0.260963777,2.095777,0.31678414,2170.544505,2054.465986,4306.240937,17.97179306,1.233122831,0.017402154,0.166103545,(0.77137345+0.006101353j),0.09222099,0.119992946,0.015136315,8
0.37554204,0.5400049,0.274207426,3.2594209,-1.6289108,3881.126023,3361.799184,8249.731502,18.55162823,1.457554397,-0.020612805,0.13119847,(0.9191714-0.00037926275j),0.12009081,0.189187648,0.10340364,8
0.4493523,0.3722836,0.236682526,8.883991,6.7284236,2152.029696,2666.325929,5070.652994,17.9925753,1.839147518,-0.019893502,0.171657931,(0.7647678+0.004704832j),0.1922606,0.051031622,0.012251236,8
0.41607943,0.47267762,0.248274422,2.6053457,0.05798047,1910.704517,2115.320454,3940.168157,18.49178697,1.054789994,0.003798457,0.13217906,(0.8716626+0.0035981874j),0.09760171,0.083335222,0.01611662,8
0.34896004,0.44687006,0.240162871,1.9245632,-4.425913,1638.907439,1995.201491,3574.786504,22.18703208,0.912110507,-0.028074108,0.112536176,(0.6424289+0.0022188271j),0.082020484,0.063969753,0.004373914,8
0.37585568,0.44627365,0.256539717,3.7735481,-0.37067997,2671.459793,2716.559623,5699.270977,17.88241957,1.638551559,-0.00718597,0.131210166,(0.8035604-0.002696913j),0.12645686,0.117361967,0.05019863,8
0.2990816,0.3531908,0.226817438,0.20798753,-12.105209,2395.488969,2300.532576,4791.603998,21.53720106,0.274177436,0.051519666,0.152465092,(0.6537932-0.0016624094j),0.025826462,0.118502045,0.017092086,8
0.424284,0.53094035,0.25659857,6.61946,0.51326394,2617.024683,2787.436336,5718.972276,17.60523878,2.081992748,0.030456389,0.136934951,(0.75167525+0.00023456493j),0.16234042,0.103168579,0.033196658,8
0.3621102,0.5122489,0.265500415,3.4464166,-1.7350188,1608.561027,1975.64115,3436.677569,22.50934667,1.078054294,0.002459166,0.125800183,(1.035562+0.009440362j),0.111664586,0.070616873,0.002733625,8
0.29478982,0.3482825,0.224417789,1.1718427,-10.8071995,2149.049179,2036.555526,4426.180712,25.36438643,0.638231896,0.053110204,0.152937615,(0.6354444-0.0036253307j),0.061658997,0.102753181,0.003600512,8
0.45838425,0.5830782,0.271692722,1.6801386,-2.188546,1699.04089,2030.118821,3785.547102,20.45215917,0.768453013,0.007982929,0.09186652,(1.0898283+0.0034575183j),0.073248185,0.061282507,0.007014399,8
0.30254298,0.37086308,0.231343765,0.4944225,-17.194807,2032.381163,1850.490121,3838.955441,21.33911555,0.465760876,0.014313222,0.134604571,(0.7390591-0.000533331j),0.03906908,0.101047407,0.006619773,8
0.37365556,0.38493374,0.240551984,3.4664736,1.8260125,1930.232326,2204.904559,4120.144434,19.73614572,1.164307927,-0.028677608,0.132955042,(0.9538186+0.0054417653j),0.11999258,0.059005749,0.008776441,8
0.4492127,0.563183,0.271085402,6.0187354,3.1694105,2455.349179,2821.168489,5584.343958,17.56053768,1.676187175,0.00694048,0.121654317,(0.9470439+0.0030735806j),0.15251078,0.087572279,0.0388647,8
0.4900421,0.5945863,0.274165779,2.395096,0.7256875,1579.806447,2022.422829,3541.987089,21.91504728,0.86437616,0.031757257,0.096163297,(1.0270308+0.0014983906j),0.09204327,0.058658325,0.004245666,8
0.32262853,0.4434752,0.250266426,3.2209494,-0.9666273,1787.748786,2120.44046,3818.17998,18.68051788,1.36051713,-0.015261379,0.138243024,(0.958219+0.0050909477j),0.11427192,0.075974372,0.010571429,8
0.4698794,0.47924605,0.254160702,6.3765135,2.254155,2868.233682,2676.125867,5796.886499,18.5009189,1.386773662,0.016315237,0.125797861,(1.0070468-0.004744262j),0.14426097,0.130656963,0.04641703,8
0.4193257,0.4584826,0.259886237,8.037198,4.636691,2118.768346,2303.449691,4853.314195,21.75352851,2.367029052,-0.002688167,0.114387956,(0.759641+0.004441501j),0.18564299,0.079247707,0.006463507,8
0.37071943,0.4778136,0.256225693,4.5715404,-0.5987815,2322.063171,2803.75491,5450.165291,18.75473144,1.51561981,0.013604827,0.109867706,(0.75400037+0.0024647822j),0.13297951,0.080689515,0.021223031,8
0.43464854,0.5553832,0.266824994,2.2362823,-0.6408564,1810.952863,2166.280664,4118.229261,22.19033492,0.69242675,-0.007655472,0.094673151,(0.8762838+0.0025468683j),0.07998437,0.05920514,0.005272748,8
0.39008066,0.45555526,0.258945581,6.217939,1.9036857,2006.893096,2120.341047,4323.510799,20.21639791,2.01053901,0.023715117,0.182166702,(0.62748545-0.00090429874j),0.15517841,0.092824418,0.007420677,8
0.32428867,0.4189189,0.247044892,2.2620835,-2.3178356,2322.169848,2592.649647,5227.513969,18.91823445,0.917638705,-0.018160992,0.1546391,(0.7564027+0.004338869j),0.09349061,0.080964055,0.023741685,8
0.37853554,0.5662748,0.266823656,2.354668,-1.6966228,1796.838299,2103.089979,3924.821794,21.56732449,1.037831084,0.008688808,0.115441424,(1.1633934+0.008728052j),0.09248084,0.075102792,0.005658037,8
0.3860586,0.42640656,0.252986143,2.1966083,-2.5056071,1754.053046,2026.224824,3768.876772,22.62525527,0.985012362,-0.002921171,0.12739156,(0.87872195-0.0031350385j),0.090615444,0.073875103,0.00495423,8
0.39593673,0.38383558,0.233904157,3.541931,-2.3046374,1796.828782,1649.26749,3439.30885,19.16495861,1.451268874,0.03634939,0.128246635,(0.79496473+0.005213058j),0.11959237,0.099363157,0.004358771,8
0.3875852,0.44844612,0.249480423,12.52838,-0.4759669,3296.90034,3065.071747,6910.651045,19.54292523,1.680369144,0.022348375,0.107549221,(1.0461365-0.0012737946j),0.20778288,0.121832403,0.059775475,8
0.3896531,0.48689282,0.262176723,7.110703,2.2481983,2481.380494,2323.998325,4847.177315,18.1476477,2.293230244,0.017932957,0.164003942,(0.7210332+0.0017136874j),0.17098132,0.13501222,0.030934371,8
0.39548552,0.50090224,0.264204903,7.5195827,0.7338097,3123.746873,2918.389432,6474.766056,19.3563058,1.971147666,-0.026484253,0.14848468,(0.9555351-0.00736434j),0.18103966,0.133542845,0.049172662,8
0.39017743,0.41216457,0.242283142,3.3697758,3.0440047,2672.851913,2549.790518,5607.942217,19.50595426,1.38729767,-0.019460732,0.136071685,(0.9566972-0.0020150077j),0.120221734,0.11116763,0.030734157,8
0.37074193,0.43530834,0.258012343,5.109352,1.4591991,1637.740972,2046.42371,3594.929126,22.12857458,1.303817645,0.019021746,0.12321956,(0.96182406-0.010046996j),0.13931039,0.056755803,0.003115501,8
0.41666585,0.32183254,0.230505316,17.824104,3.799434,3094.390952,3136.002321,6974.84264,20.15514709,2.210425232,0.008119414,0.14264524,(0.85846525-0.002697868j),0.2678528,0.100864254,0.033007972,8
0.4465847,0.54524183,0.268947233,1.596948,-1.9441978,1615.937513,2062.943142,3560.772436,21.05253737,0.692981187,0.005527666,0.089097364,(1.0688393+0.022029432j),0.074233204,0.05911413,0.005077121,8
0.5695055,0.69117194,0.274601882,3.5098362,0.5648369,4273.650129,2876.274873,7673.056335,15.02729717,0.953999943,-0.009292556,0.109323491,(1.2197052+0.0072430167j),0.11750304,0.274630825,0.13171639,8
0.3979016,0.49167272,0.261750894,1.1620377,-1.1063308,2313.837204,2179.842954,4559.143661,18.15480531,0.918484554,0.017149136,0.162488687,(0.7552513+0.0055323695j),0.06887757,0.123835753,0.02254704,8
0.4555319,0.47154948,0.267477621,7.8638635,5.785966,2058.821621,2227.187289,4552.781957,21.18606679,2.153576076,-0.002974691,0.116497714,(0.76931095+0.002214112j),0.18223724,0.072300367,0.004978405,8
0.3758746,0.4185312,0.250712931,22.469423,5.5157766,2081.122071,2264.722433,4365.85277,18.13762886,3.095903325,-0.027330153,0.116102191,(0.9797769-3.588588e-06j),0.2981977,0.082821261,0.02577845,8
0.47338873,0.52602255,0.250312201,9.404767,4.511559,2566.692787,2629.515115,5313.538532,17.76104989,1.740517074,-0.004907374,0.119547029,(0.97269124+0.004768024j),0.1795402,0.099381661,0.04426694,8
0.36560374,0.3482835,0.240886655,4.040808,-0.04792709,2022.47685,2129.837892,3834.300738,19.4920814,1.779338584,0.001964573,0.172487975,(0.72090614+0.002637939j),0.13475305,0.095618535,0.020566,8
0.3347341,0.36887646,0.224822967,2.9753711,-0.038317766,1484.715976,1644.112595,2775.135269,19.48847774,1.350214496,0.055347539,0.145078447,(0.803957+0.005146744j),0.11070739,0.076012891,0.003385268,8
0.37370637,0.45421386,0.250672989,1.6541883,-4.558342,1700.906067,2000.355623,3693.568849,22.53341188,0.707847105,-0.00367429,0.090935257,(0.85966986+0.0076931478j),0.075820535,0.065522586,0.004505938,8
0.43284577,0.5739355,0.274892222,5.355546,-1.8808192,3089.637185,2973.703815,6574.77138,17.99000563,1.675186536,-0.001437821,0.113958518,(0.9217746-0.004270359j),0.14292854,0.136155697,0.06552591,8
0.43346694,0.433433,0.247496997,1.3926045,-2.5183606,2479.665666,2521.328371,5046.729988,18.31294202,0.822281639,0.019246361,0.128559715,(0.7938108+0.003923409j),0.07131086,0.105634531,0.033834472,8
0.45761815,0.49284208,0.266525935,1.5100439,0.20977604,4282.077748,3111.941275,7925.526064,17.64221591,1.050588665,-0.002167231,0.117354751,(0.92848027+0.005226088j),0.091240115,0.22377367,0.12405621,8
0.39513677,0.40848768,0.237883973,3.93068,-0.3219352,1716.249594,2062.885827,3790.901258,21.5434406,1.050127018,0.012222286,0.107988966,(0.88746417-0.00022309276j),0.114246115,0.064090596,0.005528864,8
0.41853136,0.58546335,0.267937617,1.8106174,-1.2133957,1995.164243,2295.668202,4557.786387,21.41438461,0.846025335,0.009759594,0.109574305,(0.84511375-0.0017681565j),0.07840808,0.070276247,0.005162766,8
0.45274583,0.45972258,0.252643072,2.0761423,0.1850084,2316.624697,2334.614681,4679.324914,19.00006324,1.041003231,0.019830987,0.13011958,(1.02704+0.012920751j),0.09435921,0.093749245,0.022689268,8
0.48768926,0.5273298,0.267643457,1.6461468,-1.5430757,1640.702891,1907.19461,3497.280296,20.92128559,0.68957928,-0.005995869,0.08776868,(0.96933854-0.006616978j),0.072865635,0.067807651,0.007130617,8
0.44496328,0.36153153,0.23207363,0.969496,-1.3123939,2112.42285,2595.001913,4783.210546,17.7692892,0.469659757,-0.04087476,0.104865781,(1.0568808-0.011119489j),0.05732946,0.060844073,0.026525112,8
0.36479115,0.4529681,0.251793404,2.8136866,-1.136449,1798.364255,1964.187861,3796.272069,22.24741274,1.130101434,0.036570861,0.130291927,(1.0040452+0.0032837004j),0.10035886,0.073015985,0.005193813,8
0.47624266,0.5137615,0.255554875,1.5421675,-3.5808203,3002.494626,2214.021297,5292.746418,16.83758788,0.969565825,0.005652316,0.137245093,(0.8177667+0.000789713j),0.08066028,0.186367097,0.05694012,8
0.44055453,0.4448284,0.246428401,11.1336775,3.9382474,2456.137812,2559.822081,5054.224143,18.06949204,2.118716285,0.029024836,0.101471144,(1.0246558-0.0096447915j),0.21088026,0.088238426,0.037282668,8
0.6636847,0.59788775,0.270844715,11.333514,4.576083,4435.243901,2844.225245,7625.37686,13.51248905,4.216120402,0.004427029,0.155947743,(1.1362092+0.014109566j),0.35105464,0.260147791,0.417805,8
0.3703933,0.45924035,0.253053406,2.7823393,-0.08129494,2173.7902,2460.293289,4658.666029,17.85427415,1.11573318,0.035073835,0.132436555,(1.0678995-0.0013187545j),0.100515485,0.083156978,0.02777941,8
0.47692558,0.5383918,0.251892334,10.907735,5.1060333,2539.121009,2644.362516,5260.77136,17.46853309,1.922017186,-0.006989265,0.118790412,(0.945858+0.005353072j),0.19571492,0.09429757,0.043689594,8
0.37287915,0.4547536,0.255978305,2.9444275,0.31461853,2169.074985,2576.465396,4771.711182,18.6976079,1.058201242,0.005180229,0.120876651,(1.0048497-0.005982833j),0.103379786,0.078842883,0.02428618,8
0.40876853,0.44625705,0.253964245,5.6361313,2.2875051,3110.220723,2852.735496,6393.35456,19.59395247,1.371310111,0.029520587,0.110068911,(0.9687473+0.0054763095j),0.15083529,0.121589206,0.05033603,8
0.37098062,0.46849737,0.261202218,2.8749795,-0.5821994,2108.899077,2526.944606,4604.591543,19.72408729,1.325478359,0.034189406,0.137994358,(0.90644026+0.0007159741j),0.107129134,0.089285984,0.017214999,8
0.3267012,0.3083758,0.207686616,0.88185483,-5.0157,1366.306035,1736.646891,2562.717631,21.10286028,0.590036962,0.016642594,0.179606175,(0.67969024+0.010425123j),0.05681595,0.071181437,0.002718184,8
0.36244172,0.3576681,0.235545899,4.217687,-0.16257747,1708.923697,1899.187435,3582.721981,22.22686923,1.32225604,0.036943639,0.1101058,(0.95603573-0.019137444j),0.12684089,0.073747085,0.004239837,8
0.46001703,0.49973845,0.260590091,4.343023,0.81741726,2954.818579,2690.155877,5869.113492,18.06554747,1.429290876,-0.017141417,0.11215523,(1.036475-0.006986021j),0.13103049,0.127036582,0.09026985,8
0.39636138,0.36581504,0.237522436,2.5687118,-0.178833,2542.615358,2726.347724,5477.877008,18.96571843,0.929424971,0.003882106,0.106766669,(0.94799346+0.0067999815j),0.0969165,0.101577228,0.034988284,8
0.427196,0.51578,0.266067518,1.700414,-2.587611,2300.043392,2303.825495,4920.811544,21.51103778,0.849581402,0.020746417,0.127103532,(0.93574774+0.0029855252j),0.07558064,0.113747628,0.012895475,8
0.32913697,0.49312365,0.264027535,2.307251,-0.847762,2133.200382,2289.540104,4801.329745,23.40537521,1.124229473,-0.010276225,0.137841953,(0.8122278-0.003431863j),0.094154395,0.097799373,0.005489465,8
0.5073734,0.53954035,0.267840463,3.4159443,1.4565856,1312.255387,2137.42442,2646.835348,21.72180192,0.758922875,-0.017495031,0.077713286,(1.0610229+0.010895855j),0.10382185,0.025934796,0.001765366,8
0.39411247,0.4784081,0.260324755,5.447225,1.6686502,1753.93624,2068.262005,3840.287735,22.08024296,1.325781254,-0.014215127,0.108960343,(1.0127139-0.006686698j),0.13868877,0.071282265,0.004462752,8
0.38932496,0.5123985,0.268221775,4.365103,2.165973,1628.979106,1886.163413,3258.166815,19.840232,1.459146715,0.022149367,0.122068423,(0.8976834+0.0021730138j),0.12916782,0.067088258,0.008875977,8
0.3807734,0.38689396,0.254574555,5.4833183,-0.5013194,2288.367681,2533.797444,5005.278989,19.82427269,1.377998685,0.005270084,0.148538386,(0.8833564+0.0038473948j),0.14911047,0.060985686,0.015289077,8
0.39466432,0.41240376,0.248111244,3.1743526,0.005894004,1907.516241,2124.671177,4220.574427,20.09493376,1.154201274,0.010993708,0.118378241,(0.9898982+0.0016313643j),0.106431,0.077404474,0.007362079,8
0.48769096,0.54772055,0.264631732,1.8217171,-0.39323205,1814.041375,2188.047407,4068.834458,20.77247129,0.750086124,-0.006620068,0.092231568,(1.1160967+0.015625946j),0.080471836,0.070471106,0.007369538,8
0.4869205,0.5870663,0.267858332,1.3274292,-2.4021587,1510.686718,1850.434783,3318.919426,20.46405933,0.629262278,-0.000551577,0.111457027,(0.83636695+0.010365291j),0.06391107,0.06583149,0.003799825,8
0.3954067,0.42824957,0.257276227,3.4449825,1.3184587,1777.839586,2173.800933,3821.177641,17.40018759,1.259903209,0.010991829,0.137153359,(0.72451025-0.004663667j),0.116578765,0.060888256,0.009659492,8
0.416339,0.3328998,0.227186888,6.859017,1.2733893,1629.79995,1577.977534,3183.466752,18.5949779,1.584941763,0.051537263,0.128579018,(0.8296232+0.003797641j),0.1622296,0.079654797,0.003351677,8
0.4037153,0.53408605,0.267138571,4.9692726,-1.1939108,2086.32581,2318.27385,4678.44227,21.19805228,1.204058244,0.012371263,0.114089949,(1.0155488-0.0022304272j),0.12790774,0.087349097,0.008034915,8
0.40287256,0.43677744,0.2548634,4.8384867,0.6332941,1840.873488,2054.484987,4007.299125,22.04802168,1.343064976,-0.001338487,0.11712682,(0.9144446-0.0015724545j),0.13435169,0.074543893,0.004571797,8
0.45434636,0.36410007,0.236667026,8.883973,6.727271,2148.196262,2665.102204,5063.283742,17.96993518,1.841005321,-0.026948894,0.171433743,(0.76414204+0.004519453j),0.19225192,0.050993481,0.012217656,8
0.37173706,0.5005504,0.265792244,2.1039994,-1.9807819,2630.978528,2827.508247,5697.755492,17.87681121,0.987144152,0.000635665,0.113386425,(1.0468991+0.00870401j),0.09119109,0.111954243,0.03266116,8
0.42885458,0.53060085,0.270901483,2.9385047,0.8830868,1585.037772,2126.793157,3734.30374,20.9120296,0.995040989,0.016611542,0.101920259,(1.0291405+0.01945349j),0.1038744,0.043657555,0.003219575,8
0.3688347,0.45215103,0.255247869,2.9068065,-0.589005,1691.204939,1963.132861,3655.798312,22.91742506,1.061770918,0.005789858,0.131055046,(0.95695615-0.0030465669j),0.10201252,0.069437899,0.004130649,8
0.34869853,0.4088054,0.250300706,4.0488586,-0.5174641,1811.234934,2019.561698,3854.010364,22.13506681,1.300759181,0.013231618,0.104506133,(0.9080223-0.003589505j),0.123739295,0.072149691,0.004306812,8
0.36262915,0.39507625,0.244637524,3.799749,2.250288,2460.280386,2682.858369,5285.968372,19.23600008,1.278726216,-0.030498172,0.135087016,(0.94289726+0.003867983j),0.12580504,0.080374568,0.020426936,8
0.39140993,0.36155763,0.237012017,2.4944818,-1.2299812,1923.341464,2107.911578,4153.301903,23.08908498,0.934711284,0.003559187,0.102009136,(0.87444645+0.006666295j),0.09422628,0.084907313,0.006009333,8
0.34257227,0.44193533,0.250019906,2.7188184,-2.8245354,2477.798653,2309.800345,4759.479057,19.21306364,1.310935696,0.019870513,0.141705992,(0.94414467+0.0027082046j),0.10929931,0.114943219,0.026801856,8
0.47338873,0.52602255,0.250312201,9.404767,4.511559,2566.692787,2629.515115,5313.538532,17.76104989,1.740517074,-0.004907374,0.119547029,(0.97269124+0.004768024j),0.1795402,0.099381661,0.04426694,8
0.502262,0.54340893,0.263455465,9.972468,5.2424335,3289.023546,3253.310614,7286.557821,16.26071794,1.882829524,-0.022619835,0.145029903,(0.9720917+0.0055234637j),0.1899879,0.134067001,0.060917065,8
0.43110606,0.39450538,0.241646072,6.1172237,2.8590372,2467.09236,2006.391108,4723.482136,21.07211353,2.420092506,0.016303378,0.151752519,(0.8117396+0.0022198553j),0.18017694,0.139596324,0.02125473,8
0.46176106,0.5418473,0.26420716,3.015862,2.5843687,2525.332929,2839.713227,5594.935696,17.15679364,1.261781245,0.00512473,0.147063419,(1.0243849+0.0022122287j),0.11294707,0.082196276,0.033590242,8
0.36946073,0.40912512,0.240745994,5.9214892,1.1099478,1052.209329,1401.078377,2055.438332,18.08981417,1.595278811,0.007307556,0.10801852,(1.0381655+0.0017964118j),0.15144992,0.038035334,0.001937836,8
0.46922228,0.5154286,0.259036776,1.328781,-1.9364929,2003.672575,2296.347169,4157.357073,17.71391174,0.583446563,-0.000988697,0.104736186,(0.9961779+0.0030720946j),0.06308439,0.089753495,0.026598597,8
0.42578843,0.38011593,0.240558911,5.189892,0.8640744,1803.774378,1973.418903,3777.969679,21.67803948,1.475096763,-0.015644853,0.126740575,(0.8971474-0.0006940677j),0.13979867,0.077952043,0.005074014,8
