chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,poly_features,tonnetz,tempogram,fourier_tempogramrms,zero_crossing_rate,spectral_flatness,,genre
0.34558317,0.40717426,0.246808947,5.265517,1.9130759,1659.579361,1953.259408,3580.190622,22.18817471,1.668300158,0.002166741,0.149722134,(0.6200184-0.004044572j),0.14584036,0.071180681,0.003127754,9
0.33942294,0.38440636,0.2254646,0.6338573,-3.4674015,2424.136648,2927.100965,5643.69766,18.94859105,0.556118068,0.04813895,0.146863958,(0.61131924-0.0013923738j),0.051210362,0.086536806,0.021026466,9
0.39284763,0.4512272,0.259078202,5.7396164,3.0124311,2334.498686,2208.043898,4818.974315,21.28451219,2.633300603,0.036903579,0.200357965,(0.5208248-0.007848433j),0.16584347,0.128553162,0.009496577,9
0.25570148,0.4162041,0.24787604,5.32761,0.48841116,2495.723202,2249.87867,5213.208461,22.33528797,1.98427785,0.037131165,0.207192873,(0.6513917-0.0031085105j),0.15472376,0.120636057,0.006240376,9
0.35806242,0.42301685,0.252188995,5.240578,1.4218491,1878.549952,2204.936033,4287.030921,22.28376419,1.5799077,0.042294508,0.138028067,(0.6615209-0.0019858587j),0.14442037,0.071710125,0.004364238,9
0.40193146,0.4522727,0.263284817,1.8471509,-0.49123472,2467.284654,2399.022704,5402.860524,21.54928342,1.291472181,0.016391754,0.18549797,(0.6072741-0.003015366j),0.09121294,0.118275087,0.009929009,9
0.3296822,0.27090797,0.19678538,0.7268762,-4.2428246,1711.04022,2308.723247,3491.676334,20.7702155,0.451245063,0.065129388,0.159337381,(0.7038999-0.004874927j),0.05309307,0.055849481,0.010116085,9
0.4585289,0.55043924,0.268471388,6.6122375,4.1088114,2223.93748,2287.733702,4917.439174,20.53627632,2.423890917,0.014851793,0.126827015,(0.70874995+0.0023690674j),0.16936027,0.110020377,0.009681196,9
0.42015615,0.5173413,0.272001783,4.249774,1.4198968,2739.391443,2541.933984,5326.586687,17.49095847,2.148446332,0.023853745,0.127245849,(0.685835-4.4411805e-05j),0.13985834,0.143956868,0.05754709,9
0.34060633,0.43021291,0.240260726,4.169687,-4.7130656,2186.622282,2448.823252,4462.71055,18.19904831,1.162560467,-0.00363728,0.141771998,(0.82440007+0.0097312005j),0.11339797,0.088566591,0.03334572,9
0.39093196,0.4909634,0.263195744,1.4711442,-4.8339615,2521.228725,2133.546671,4830.457024,20.99479436,1.224166115,0.005246987,0.150539116,(0.72027564+0.016570618j),0.076289095,0.146281585,0.015120494,9
0.3943926,0.42179412,0.247401462,5.6553035,3.9239705,2140.289343,2245.944002,4831.439591,21.37990438,2.059438299,0.053113714,0.144896977,(0.5617891-0.0007042647j),0.15387823,0.091140924,0.006649717,9
0.4021729,0.4947644,0.262176486,5.4356937,3.066266,2806.851355,2688.058399,5677.179876,18.83676875,2.420482928,0.02969065,0.172727726,(0.58531266+0.0038240838j),0.16077287,0.148355553,0.05269218,9
0.42152464,0.46608374,0.25325755,7.5972805,4.7237916,2788.250576,2648.300009,5831.991493,18.72152723,2.687879233,0.026451927,0.240390797,(0.5719789-0.0033007436j),0.19110933,0.134925399,0.043020256,9
0.37872,0.39944464,0.244266533,2.3970234,1.1138664,2116.24055,2245.520378,4690.041555,22.3127278,1.402853114,0.009888814,0.13249649,(0.5903058-0.00026537682j),0.101727515,0.092788921,0.006538471,9
0.3806428,0.5331875,0.268682316,0.8969222,-5.4473996,1937.046639,2008.41822,3986.148956,20.2833006,0.610014159,0.003076418,0.112066731,(0.88479835+0.0043274737j),0.053659905,0.083579173,0.006843039,9
0.3356615,0.475118,0.256636026,2.0875213,-2.8268557,2553.527051,2219.053282,5123.41184,22.51182485,1.377055823,0.006552103,0.126168696,(0.66087055+0.005900257j),0.09366794,0.136131906,0.01326582,9
0.39521185,0.49806973,0.269863436,2.7900176,1.0337824,2294.179929,2104.262108,4730.13528,21.25950618,1.751198088,-0.009330906,0.190848508,(0.57625+0.0014513868j),0.11473215,0.129093179,0.006964706,9
0.44036755,0.43351248,0.22980992,4.62298,2.6273463,1597.531261,2238.440283,3825.590866,22.59701176,1.158587834,0.019472377,0.142329801,(0.77173454-0.0033227582j),0.13371496,0.046109913,0.002766573,9
0.39034742,0.39957097,0.239309801,2.0702546,0.0695962,2944.3606,2831.211163,6333.376346,18.27825649,1.130461193,-0.010677359,0.166867483,(0.9418354-0.00049261574j),0.09653656,0.114917162,0.03817927,9
0.35667777,0.52011013,0.26476683,2.444865,1.1312608,2581.46884,2376.176114,5390.270345,22.34125168,1.560139103,0.031049066,0.1646949,(0.59225327-0.0006188816j),0.10688646,0.139200563,0.014356039,9
0.3388159,0.51849836,0.268863685,1.5983906,-3.28234,1863.6768,2067.3648,3986.115649,20.48519447,0.840947554,-0.014032002,0.115819815,(0.86396295+0.00487004j),0.07591646,0.068224937,0.005656256,9
0.40553552,0.5679812,0.274566742,2.30885,1.1424369,2796.512171,2891.132555,6203.044677,17.06740628,1.479335142,0.024038189,0.179285589,(0.66952854+0.0022772597j),0.1033265,0.134644027,0.05472116,9
0.45182574,0.56224877,0.269782433,2.6171324,0.14275898,2626.720259,2442.602569,5047.113023,17.94810624,1.821718734,0.03785976,0.16960582,(0.6907924+0.0020089024j),0.1134132,0.146271012,0.048797842,9
0.4082405,0.46958205,0.258076179,1.7667736,-3.1531355,2590.730306,2078.710859,4889.402711,20.88102765,1.418496143,0.02301354,0.150252912,(0.6362938-0.0016284755j),0.08958273,0.161722677,0.016111199,9
0.4368056,0.60035545,0.267321461,6.294453,2.280587,1875.315631,1983.973789,3929.526458,20.35962809,1.961100188,0.014520264,0.069732807,(0.7580511+0.001693431j),0.14866215,0.076804413,0.007012434,9
0.38931277,0.4011984,0.251343731,1.9774379,-1.3178182,2628.863788,2210.478936,5085.874454,23.21410068,1.548895162,-0.057995734,0.234139279,(0.50666726+0.0017437313j),0.10196008,0.146649401,0.012713905,9
0.3216451,0.41459447,0.251199186,4.7113214,-1.0882965,1646.212074,1700.79967,3183.841459,19.57841894,2.099122594,0.008013744,0.166776365,(0.5959335+0.0016788855j),0.14561142,0.085252849,0.005645031,9
0.41576955,0.54940367,0.274844649,6.373585,-0.08802718,2342.440836,2113.038593,4595.398714,20.12436306,2.932261202,0.001358381,0.218341934,(0.6132556-0.003894766j),0.17391872,0.138443029,0.012238452,9
0.34333882,0.42096138,0.24770207,2.7913785,-0.96796227,1609.738893,1815.875983,3380.229934,23.69435552,1.259048835,0.034456494,0.113569802,(0.6798165+0.00031713626j),0.105230935,0.073256538,0.003172192,9
0.2942067,0.3961951,0.229265437,4.190904,-0.38370758,2294.785907,2207.011478,4847.943384,22.38783261,1.866263199,-0.005861886,0.18519858,(0.4990744+0.0020700789j),0.1357576,0.115567071,0.007616732,9
0.3602112,0.481887,0.252306097,0.5433865,-8.765676,2209.483104,2175.050025,4575.114537,21.8515361,0.569315807,0.023232873,0.124953455,(0.65055716+0.0003002195j),0.043010477,0.10714658,0.007476427,9
0.39280942,0.5032273,0.263279668,2.5276315,-0.64627326,2414.152467,2339.338081,5213.025271,21.86853368,1.369813012,-0.008343003,0.147274517,(0.6623662-0.0018119114j),0.100266695,0.119885698,0.010052167,9
0.38265365,0.40321907,0.24216111,1.7650644,-0.017895069,2975.804983,2423.273898,5926.577001,21.78548196,1.472196674,0.027912123,0.17906685,(0.5775853-0.0032345024j),0.09334027,0.183712327,0.021084908,9
0.3900141,0.5513538,0.270769603,3.159799,2.3741407,3488.554943,3241.605654,7660.024833,17.03222169,1.645621357,0.014557697,0.161418397,(0.6365917+6.700253e-05j),0.12264493,0.175070164,0.086492434,9
0.4435069,0.48852098,0.264984483,2.2545571,0.27888757,2474.257423,2123.313457,4754.174861,22.44404844,1.869319544,-0.003009074,0.199626238,(0.5555623+0.00020037893j),0.10828358,0.150134589,0.014290824,9
0.3686045,0.44103387,0.253303601,2.3192506,0.36748856,2606.182824,2318.736951,5339.410018,22.51977769,1.624756655,0.000675737,0.166303483,(0.60086185-0.0010002585j),0.104383945,0.149672742,0.013039559,9
0.37627077,0.38857955,0.219037751,4.685607,0.17664614,1181.231338,1607.504511,2367.195147,22.33918821,1.364445872,0.005064492,0.088275691,(0.67846125+0.0015434033j),0.12824872,0.04253296,0.002343593,9
0.32338282,0.40119046,0.235400543,3.9939008,-0.1973293,1673.877574,1947.8925,3431.423334,18.57219004,1.621580292,-0.023111699,0.140226565,(0.69906324+0.0005058162j),0.12796016,0.074873946,0.009545895,9
0.40506238,0.48658448,0.263433415,5.0449224,-0.68023825,2320.302643,2044.849707,4466.382686,21.14849829,2.486842611,-0.001280487,0.19168705,(0.54152626+0.003480925j),0.15664248,0.143430446,0.008173045,9
